Time,IsBeat?,BPM,EDR,Time after start,Relative BPM,Relative EDR
395772,beat,260,168,73197,0.201834862,0.098540146
395882,beat,260,169,73307,0.201834862,0.102189781
395970,beat,260,302,73395,0.201834862,0.587591241
396171,beat,260,215,73596,0.201834862,0.270072993
396306,beat,260,187,73731,0.201834862,0.167883212
396309,beat,260,186,73734,0.201834862,0.164233577
396469,beat,260,180,73894,0.201834862,0.142335766
396688,beat,260,176,74113,0.201834862,0.127737226
396805,beat,260,174,74230,0.201834862,0.120437956
396907,beat,260,172,74332,0.201834862,0.113138686
397088,beat,260,170,74513,0.201834862,0.105839416
397221,beat,260,172,74646,0.201834862,0.113138686
397406,beat,260,172,74831,0.201834862,0.113138686
397614,beat,260,175,75039,0.201834862,0.124087591
397729,beat,260,175,75154,0.201834862,0.124087591
397903,beat,260,176,75328,0.201834862,0.127737226
398126,beat,260,177,75551,0.201834862,0.131386861
398237,beat,260,177,75662,0.201834862,0.131386861
398337,beat,391,176,75762,0.802752294,0.127737226
398638,beat,391,175,76063,0.802752294,0.124087591
398832,beat,391,172,76257,0.802752294,0.113138686
399038,beat,391,170,76463,0.802752294,0.105839416
399155,beat,391,170,76580,0.802752294,0.105839416
399327,beat,391,170,76752,0.802752294,0.105839416
399552,beat,391,172,76977,0.802752294,0.113138686
399763,beat,391,174,77188,0.802752294,0.120437956
399944,beat,391,186,77369,0.802752294,0.164233577
400077,beat,391,183,77502,0.802752294,0.153284672
400257,beat,391,181,77682,0.802752294,0.145985401
400467,beat,391,177,77892,0.802752294,0.131386861
400759,beat,391,173,78184,0.802752294,0.116788321
400995,beat,391,179,78420,0.802752294,0.138686131
401195,beat,391,180,78620,0.802752294,0.142335766
401377,beat,391,179,78802,0.802752294,0.138686131
401492,beat,391,178,78917,0.802752294,0.135036496
401679,beat,391,178,79104,0.802752294,0.135036496
401893,beat,391,180,79318,0.802752294,0.142335766
402154,beat,391,182,79579,0.802752294,0.149635036
402410,beat,391,177,79835,0.802752294,0.131386861
402605,beat,302,177,80030,0.394495413,0.131386861
402793,beat,302,179,80218,0.394495413,0.138686131
403102,beat,302,181,80527,0.394495413,0.145985401
403317,beat,302,180,80742,0.394495413,0.142335766
403600,beat,302,183,81025,0.394495413,0.153284672
403825,beat,302,182,81250,0.394495413,0.149635036
403935,beat,302,339,81360,0.394495413,0.722627737
404024,beat,302,415,81449,0.394495413,1
404224,beat,302,205,81649,0.394495413,0.233576642
404334,beat,302,182,81759,0.394495413,0.149635036
404516,beat,302,175,81941,0.394495413,0.124087591
404720,beat,302,177,82145,0.394495413,0.131386861
404835,beat,302,178,82260,0.394495413,0.135036496
404951,beat,302,176,82376,0.394495413,0.127737226
404994,beat,302,177,82419,0.394495413,0.131386861
405251,beat,302,175,82676,0.394495413,0.124087591
405443,beat,302,179,82868,0.394495413,0.138686131
405635,beat,302,175,83060,0.394495413,0.124087591
405937,beat,302,218,83362,0.394495413,0.281021898
406153,beat,302,201,83578,0.394495413,0.218978102
406369,beat,302,206,83794,0.394495413,0.237226277
406676,beat,309,167,84101,0.426605505,0.094890511
406858,beat,309,238,84283,0.426605505,0.354014599
407176,beat,309,166,84601,0.426605505,0.091240876
407357,beat,309,163,84782,0.426605505,0.080291971
407574,beat,309,153,84999,0.426605505,0.04379562
407675,beat,309,152,85100,0.426605505,0.040145985
407784,beat,309,148,85209,0.426605505,0.025547445
407825,beat,309,201,85250,0.426605505,0.218978102
408082,beat,309,150,85507,0.426605505,0.032846715
408183,beat,309,153,85608,0.426605505,0.04379562
408278,beat,309,150,85703,0.426605505,0.032846715
408458,beat,309,149,85883,0.426605505,0.02919708
408592,beat,309,148,86017,0.426605505,0.025547445
408773,beat,309,163,86198,0.426605505,0.080291971
408983,beat,309,162,86408,0.426605505,0.076642336
409267,beat,309,154,86692,0.426605505,0.047445255
409490,beat,309,150,86915,0.426605505,0.032846715
409757,beat,309,185,87182,0.426605505,0.160583942
409987,beat,309,160,87412,0.426605505,0.069343066
410097,beat,309,159,87522,0.426605505,0.065693431
410183,beat,309,158,87608,0.426605505,0.062043796
410498,beat,329,152,87923,0.518348624,0.040145985
410684,beat,329,173,88109,0.518348624,0.116788321
410897,beat,329,159,88322,0.518348624,0.065693431
411164,beat,329,184,88589,0.518348624,0.156934307
411390,beat,329,338,88815,0.518348624,0.718978102
411617,beat,329,208,89042,0.518348624,0.244525547
411906,beat,329,157,89331,0.518348624,0.058394161
412090,beat,329,155,89515,0.518348624,0.051094891
412280,beat,329,158,89705,0.518348624,0.062043796
412285,beat,329,158,89710,0.518348624,0.062043796
412582,beat,329,156,90007,0.518348624,0.054744526
412807,beat,329,156,90232,0.518348624,0.054744526
413032,beat,329,241,90457,0.518348624,0.364963504
413057,beat,329,219,90482,0.518348624,0.284671533
413305,beat,329,154,90730,0.518348624,0.047445255
413500,beat,329,228,90925,0.518348624,0.317518248
413680,beat,329,189,91105,0.518348624,0.175182482
413684,beat,329,184,91109,0.518348624,0.156934307
413799,beat,329,161,91224,0.518348624,0.072992701
413983,beat,329,151,91408,0.518348624,0.03649635
414195,beat,329,150,91620,0.518348624,0.032846715
414480,beat,316,160,91905,0.458715596,0.069343066
414695,beat,316,156,92120,0.458715596,0.054744526
414806,beat,316,154,92231,0.458715596,0.047445255
414903,beat,316,155,92328,0.458715596,0.051094891
415079,beat,316,154,92504,0.458715596,0.047445255
415083,beat,316,155,92508,0.458715596,0.051094891
415207,beat,316,156,92632,0.458715596,0.054744526
415396,beat,316,157,92821,0.458715596,0.058394161
415603,beat,316,157,93028,0.458715596,0.058394161
415881,beat,316,159,93306,0.458715596,0.065693431
416107,beat,316,161,93532,0.458715596,0.072992701
416305,beat,316,163,93730,0.458715596,0.080291971
416793,beat,316,166,94218,0.458715596,0.091240876
417278,beat,316,171,94703,0.458715596,0.109489051
417495,beat,316,172,94920,0.458715596,0.113138686
417763,beat,316,171,95188,0.458715596,0.109489051
418003,beat,316,193,95428,0.458715596,0.189781022
418201,beat,316,162,95626,0.458715596,0.076642336
418262,beat,316,160,95687,0.458715596,0.069343066
418369,beat,316,159,95794,0.458715596,0.065693431
418677,beat,316,160,96102,0.458715596,0.069343066
418869,beat,287,163,96294,0.325688073,0.080291971
419168,beat,287,157,96593,0.325688073,0.058394161
419381,beat,287,158,96806,0.325688073,0.062043796
419644,beat,287,161,97069,0.325688073,0.072992701
420094,beat,287,160,97519,0.325688073,0.069343066
420377,beat,287,164,97802,0.325688073,0.083941606
420561,beat,287,164,97986,0.325688073,0.083941606
420752,beat,287,164,98177,0.325688073,0.083941606
421043,beat,287,165,98468,0.325688073,0.087591241
421259,beat,287,167,98684,0.325688073,0.094890511
421519,beat,287,168,98944,0.325688073,0.098540146
421950,beat,287,173,99375,0.325688073,0.116788321
422251,beat,287,167,99676,0.325688073,0.094890511
422436,beat,287,166,99861,0.325688073,0.091240876
422617,beat,287,169,100042,0.325688073,0.102189781
422918,beat,287,164,100343,0.325688073,0.083941606
423333,beat,287,165,100758,0.325688073,0.087591241
423616,beat,287,166,101041,0.325688073,0.091240876
423819,beat,287,162,101244,0.325688073,0.076642336
424124,beat,287,162,101549,0.325688073,0.076642336
424302,beat,287,162,101727,0.325688073,0.076642336
424493,beat,225,275,101918,0.041284404,0.489051095
424784,beat,225,163,102209,0.041284404,0.080291971
424992,beat,225,178,102417,0.041284404,0.135036496
425102,beat,225,169,102527,0.041284404,0.102189781
425200,beat,225,167,102625,0.041284404,0.094890511
425499,beat,225,207,102924,0.041284404,0.240875912
425678,beat,225,170,103103,0.041284404,0.105839416
425873,beat,225,175,103298,0.041284404,0.124087591
426151,beat,225,158,103576,0.041284404,0.062043796
426370,beat,225,152,103795,0.041284404,0.040145985
426575,beat,225,151,104000,0.041284404,0.03649635
426873,beat,225,152,104298,0.041284404,0.040145985
427048,beat,225,152,104473,0.041284404,0.040145985
427249,beat,225,152,104674,0.041284404,0.040145985
427514,beat,225,153,104939,0.041284404,0.04379562
427732,beat,225,154,105157,0.041284404,0.047445255
427951,beat,225,153,105376,0.041284404,0.04379562
428419,beat,225,158,105844,0.041284404,0.062043796
428611,beat,225,158,106036,0.041284404,0.062043796
428892,beat,225,160,106317,0.041284404,0.069343066
429114,beat,225,159,106539,0.041284404,0.065693431
429367,beat,261,160,106792,0.206422018,0.069343066
429799,beat,261,161,107224,0.206422018,0.072992701
430272,beat,261,170,107697,0.206422018,0.105839416
430565,beat,261,165,107990,0.206422018,0.087591241
430748,beat,261,167,108173,0.206422018,0.094890511
430931,beat,261,167,108356,0.206422018,0.094890511
431233,beat,261,169,108658,0.206422018,0.102189781
431430,beat,261,170,108855,0.206422018,0.105839416
431713,beat,261,170,109138,0.206422018,0.105839416
431911,beat,261,170,109336,0.206422018,0.105839416
432021,beat,261,172,109446,0.206422018,0.113138686
